"gene_accession_id","analysis_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue"
"1933388","00o3ykv7j6vz4op","Bicc1","C57BL","Early adult","IMPC_CBC_007_001","albumin","0.7710988"
"1924285","00o6h369s096jeg","Kdm8","C57BL","Early adult","JAX_OFD_010_001","periphery distance travelled","0.06029311"
"106638","00of0gprw0b2w6g","Pla2g2c","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve","0.2963305"
"2442192","00q887lj6nxxie3","Eea1","C57BL","Early adult","IMPC_EYE_058_001","max right eye lens density","0.4290158"
"1933946","00r3542qwe3bvhw","Ptov1","C57BL","E18.5","IMPC_ACS_034_001","% pre-pulse inhibition - ppi2","0.6472351"
"99460","00r5917q88wburg","Notch3","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.05541033"
"96391","00s6vww29xnr497","Ica1","C57BL","Early adult","IMPC_CBC_003_001","chloride","0.2958261"
"1933946","00skuz38corwpc0","Ptov1","C57BL","Early adult","IMPC_CBC_010_001","phosphorus","0.978619"
"1919173","00sy959s0wsld0a","Borcs6","C57BL","Early adult","HRWL_OWT_001_001","spleen weight","0.4675411"
"1933388","00t138q0ypy070e","Bicc1","C57BL","E15.5","IMPC_CBC_011_001","iron","0.8667554"
"1915513","00tr2q98b5y99t3","Pdhb","C57BL","E12.5","ESLIM_005_001_004","bone mineral density (excluding skull)","0.2390386"
"1927665","00tyrd478ufd46w","SIRT3","C57BL","Early adult","IMPC_XRY_005_001","teeth","0.3310639"
"98386","00v4s1zdp46l06o","Sptan1","C57BL","E15.5","IMPC_OFD_010_001","periphery distance travelled","0.539636"
"1860075","00w0wsa7i2lm978","Ppt2","C57BL","Early adult","CCP_XRY_060_001","transitional vertebrae","0.286463"
"1917377","00w50fpz57smgud","Dpf3","C57BL","Early adult","IMPC_CSD_030_001","tremor","0.2568414"
"104709","00w6u3v883g2ikk","Wbp2","C57BL","Early adult","IMPC_EYE_067_001","left anterior chamber depth","0.2602395"
"2384860","00wt7lfr4435jpq","Slc44a3","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold","0.6801545"
"2448415","00x2p4r8ay30ra1","H2bc21","C57BL","Early adult","IMPC_CSD_080_001","head bobbing","0.1635944"
"2442201","00x58b5o96n2wr6","Adap1","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean","0.392445"
"2158468","00xa9034020wd99","Ms4a3","C57BL","Early adult","IMPC_GEP_018_002","facial cleft","0.5049427"
"1345633","00y787amr9s7t27","Mars1","C57BL","Early adult","IMPC_GRS_011_001","forelimb and hindlimb grip strength normalised against body weight","0.5003296"
"108424","00z3368jhe87r3m","Irag2","C57BL","Early adult","UCD_OWT_004_001","left kidney","0.1937657"
"1349660","01059k23di87zie","Pla2g2e","C57BL","Early adult","UCD_OWT_029_001","body length","0.8475887"
"98386","010drdja0dd8ft2","Sptan1","C57BL","E15.5","IMPC_GEO_064_001","edema","0.6461189"
"109242","010na2z5ywbee71","Spin1","C57BL","E9.5","TCP_CHL_071_001","baseline inspiratory time","0.9291473"
"2447762","010xc69wtq24rx0","Yeats2","C57BL","Middle aged adult","IMPC_OFD_007_001","whole arena resting time","0.6370802"
"2681164","010zrijsed3n3x0","Plekha8","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage","0.08316051"
"94903","01195b7464fy1wi","Dlx3","C57BL","Early adult","IMPC_EYE_017_001","lens opacity","0.3021469"
"2447762","011pz04n4eqkb49","Yeats2","C57BL","Middle aged adult","IMPC_HEM_003_001","hemoglobin","0.2397891"
"1345633","012013kk2r9p82f","Mars1","C57BL","E9.5","ESLIM_019_001_007","ige","0.8288017"
"97749","01248d890861340","Ppia","C57BL","Early adult","IMPC_CSD_030_001","tremor","0.5482566"
"1915513","012b855hx4d6p57","Pdhb","C57BL","E9.5","HRWLIP_CSD_032_001","locomotor activity","0.7769864"
"1917678","012f1gdwq7d1703","Polr3b","C57BL","Early adult","HRWL_OWT_001_001","spleen weight","0.3076292"
"98386","012jt0p80wurwo4","Sptan1","C57BL","E15.5","IMPC_DXA_007_001","bmc/body weight","0.1361026"
"2447762","012k75q2u7838f8","Yeats2","C57BL","Late adult","IMPC_GEO_047_002","microphthalmia","0.5368615"
"1933169","012v686zuh78ew5","Sacm1l","C57BL","E12.5","IMPC_HEM_032_001","lymphocyte cell count","0.6168808"
"2442632","013215gx78y28x9","Cacna2d4","C57BL","Early adult","JAXLA_CSD_039_001","limb grasp","0.1661296"
"1202715","0133soz2bg744lx","Tcf21","C57BL","E15.5","ESLIM_015_001_010","phosphorus","0.6384508"
"104709","0139ky7z99vzxx9","Wbp2","C57BL","Early adult","IMPC_OFD_010_001","periphery distance travelled","0.2705811"
"1933169","014188c247597ai","Sacm1l","C57BL","Early adult","IMPC_OFD_022_001","percentage center time","0.999642"
"96743","0144at9m811z6vz","Lamb1","C57BL","E9.5","IMPC_OFD_016_001","center permanence time","0.7050232"
"1933169","0146f3122i90f39","Sacm1l","C57BL","E12.5","IMPC_CSD_010_001","coat - color pattern - abdomen","0.944293"
"97749","014740nx7856z0n","Ppia","C57BL","Early adult","ESLIM_008_001_001","body position","0.587797"
"2685720","0147l269j2cdc2f","Acss3","C57BL","Early adult","IMPC_EYE_014_001","pupil light response","0.1049727"
"3700200","014b1369wa0f3m1","Ift70a2","C57BL","Early adult","IMPC_OFD_019_001","number of center entries","0.7549784"
"99178","0152451j0rgtqnm","Zfp30","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed","0.2755398"
"1891214","0155hur04ha3uaq","LHFPL1","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli","0.2137286"
"99178","015go274k456893","Zfp30","C57BL","Early adult","IMPC_GEO_064_001","edema","1"
"2385891","015ull4pl66v138","Zc3h12a","C57BL","Early adult","IMPC_EYE_068_001","left total retinal thickness","0.1032923"
"2384860","0161xz848ofzm1c","Slc44a3","C57BL","Early adult","IMPC_OFD_010_001","periphery distance travelled","0.9091076"
"1915094","0164b9dkhy1h328","Rab32","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.1670356"
"1924136","0167104y73p0d5o","Fam81a","C57BL","Early adult","IMPC_HWT_008_001","heart weight","0.7656369"
"1927665","01679khc6p18x76","Sirt3","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.9678185"
"1336213","01693q440y779wp","Mybpc1","C57BL","Early adult","IMPC_CBC_009_001","calcium","0.770804"
"1345633","017500ulwfm2761","Mars1","C57BL","E9.5","CCP_XRY_001_001","skull shape","0.7666452"
"1917633","017h8946g35y180","Cox10","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.3796508"
"1933169","0180bw4yj52r5em","Sacm1l","C57BL","E9.5","IMPC_GRS_009_001","forelimb and hindlimb grip strength measurement mean","0.1972919"
"1933388","018293576n76qvl","Bicc1","C57BL","E15.5","IMPC_GEP_024_001","body wall morphology","0.946685"
"1933946","018d50e5r3869co","Ptov1","C57BL","E18.5","CCP_IMM_032_002","effector cd8+ t cells - % of live leukocytes","0.5881179"
"2384812","018da97bt6s3333","Lpcat1","C57BL","Early adult","IMPC_CSD_039_001","limb grasp","0.598049"
"2448415","018l0m389ug0139","H2BC21","C57BL","Early adult","JAX_OFD_013_001","periphery average speed","0.8524095"
"1933946","0192snwezw02487","Ptov1","C57BL","E18.5","IMPC_GEO_069_001","delayed embryonic development","0.4708728"
"1929865","0199rcy651yqb5x","Nampt","C57BL","Early adult","CCP_XRY_001_001","skull shape","0.26708"
"1933946","019tx15697x5u86","Ptov1","C57BL","E18.5","UCD_OWT_003_001","spleen weight","0.5993966"
"1891361","01a004d5obut5l0","Psg29","C57BL","Early adult","ESLIM_008_001_014","touch escape","0.788752"
"2384860","01be8nlq0370ncb","Slc44a3","C57BL","Early adult","UCD_OWT_004_001","left kidney","0.5585052"
"1923607","01bg9012085dkup","Trmt5","C57BL","E9.5","CCP_XRY_064_001","thoracic processes","0.1954559"
"2442192","01c4t7t4nr9i127","Eea1","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight","0.1337845"
"96136","01c5053754to4lh","Hmgn2","C57BL","Early adult","IMPC_ECH_003_001","stroke volume","0.2354144"
"1933169","01dmv34038i74pe","Sacm1l","C57BL","E9.5","ESLIM_016_001_001","white blood cell count","0.8702797"
"99510","01dr680827a686p","Tmsb4x","C57BL","Early adult","ESLIM_019_001_007","ige","0.8384389"
"109242","01ea43225m13zb7","Spin1","C57BL","Early adult","IMPC_GEO_009_002","hemorrhage","0.5772196"
"1913346","01efyt509aw1l07","Lamtor4","C57BL","Early adult","UCD_OWT_029_001","body length","0.08887953"
"2679007","01etyumk82z4423","Elmo3","C57BL","Early adult","IMPC_EYE_067_001","left anterior chamber depth","0.184983"
"1933126","01ffj4aa421f549","Cdk5rap3","C57BL","Early adult","IMPC_EYE_062_001","right total retinal thickness","0.6371592"
"104709","01g047r1ps53859","Wbp2","C57BL","Early adult","IMPC_HWT_008_001","heart weight","0.939346"
"96391","01g9l5458wc2dst","Ica1","C57BL","Early adult","IMPC_OFD_012_001","periphery permanence time","0.3265044"
"94903","01h2328i78lkf08","Dlx3","C57BL","Early adult","IMPC_GEL_064_001","somite morphology","0.1758914"
"96743","01he3bfgxa4bl35","Lamb1","C57BL","Early adult","IMPC_EYE_027_001","persistence of hyaloid vascular system","0.9684244"
"1860083","01i1ph55lz10uuo","Cd320","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight","0.7535764"
"2138584","01i7079wz69ej64","Gigyf2","C57BL","Early adult","CCP_XRY_064_001","thoracic processes","0.4961456"
"1914296","01id8ihfvvp99e9","Tbc1d7","C57BL","E18.5","UCD_OWT_002_001","heart weight","0.1280097"
"1930618","01j2o97816t1rje","Krit1","C57BL","E9.5","UCD_OWT_004_001","left kidney","0.268005"
"2443008","01jbx2m818530r6","Trappc8","C57BL","E9.5","ESLIM_019_001_007","ige","0.4040972"
"2151153","01m7n3k7knjc987","Boc","C57BL","Early adult","IMPC_CBC_014_001","alkaline phosphatase","0.5133978"
"894310","01mc4343082kd26","Septin8","C57BL","Early adult","JAX_OFD_007_001","whole arena resting time","0.9137564"
"894310","01n492ju65o51eo","Septin8","C57BL","Early adult","IMPC_CBC_018_001","glucose","0.3150835"
"1915094","01n4wfdsajo3p66","Rab32","C57BL","Early adult","IMPC_EYE_012_001","pupil shape","0.946379"
"1100867","01n9dbg65wa8363","Asic2","C57BL","Early adult","JAX_OFD_020_001","distance travelled - total","0.8760548"
"1927594","01nd0t557tsmv30","Itm2c","C57BL","Early adult","IMPC_HEM_033_001","monocyte differential count","0.8542513"
"2447762","01o3650cv73ah2u","Yeats2","C57BL","Late adult","IMPC_DXA_002_001","fat mass","0.5424251"
"1913743","01paikn0g07ncw4","Mrpl51","C57BL","Early adult","ESLIM_008_001_001","body position","0.1313615"
"1347354","01q05o2e6qf94o4","Homer2","C57BL","Early adult","IMPC_CBC_007_001","albumin","0.5680062"
"1927657","01qe46279o80266","Ms4a8a","C57BL","Early adult","IMPC_CSD_010_001","coat - color pattern - abdomen","0.7772971"
"1933169","01rtnds400e88td","Sacm1l","C57BL","E12.5","IMPC_EYE_017_001","lens opacity","0.7078328"
"2137681","01sf9g9685xn8hr","Sfxn5","C57BL","Early adult","IMPC_GEO_015_001","head shape","0.821447"
"1924136","01su272b140tb36","Fam81a","C57BL","Early adult","ESLIM_007_001_007","periphery resting time","0.4221251"
"99779","01t2rmuz7321q80","Chrna7","C57BL","Early adult","IMPC_FEA_015_001","cue baseline % freezing time","0.5347009"
"1933169","01t98w59fr7e3z4","Sacm1l","C57BL","E12.5","JAX_OFD_009_001","whole arena average speed","0.9745221"
"1202715","01tg9n8818an74i","Tcf21","C57BL","Early adult","IMPC_LDT_007_001","percent time in dark","0.4278565"
"2442192","01tr1861803su47","Eea1","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli","0.5741499"
"107444","01v315w1968yf59","Efna5","C57BL","Early adult","IMPC_GEL_058_001","heart morphology","0.9624341"
"1933169","01v7o52u77rm1x9","Sacm1l","C57BL","Early adult","IMPC_EYE_056_001","mean left eye lens density","0.2122286"
"106638","01vl42nk691ep46","Pla2g2c","C57BL","Early adult","IMPC_EYE_017_001","lens opacity","0.9569538"
"94903","01w6bdpme7hb0gf","DLX3","C57BL","E9.5","IMPC_GEL_058_001","heart morphology","0.1912595"
"1345633","01w9mn8fu9a9q75","Mars1","C50BL","E9.5","JAXLA_CSD_077_001","contact righting","0"
"1915878","01w9x0w315ja6z4","Fbxw9","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time","0.5467832"
"3700200","01wdydzvgki0836","Ift70a2","C57BL","Early adult","IMPC_GEL_027_001","neural tube closure","0.1373782"
"1913346","01yr4of2nulu8n7","Lamtor4","C57BL","Early adult","JAXLA_CSD_007_001","coat - color - abdomen","0.1108797"
"98386","01zp2oc6cjh9577","Sptan1","C57BL","Early adult","IMPC_EYE_017_001","lens opacity","0.00000002152042"
"107372","0201118x73u0905","Pter","C57BL","Early adult","ESLIM_015_001_010","phosphorus","0.7119057"
"1930618","0206z97z277504f","Krit1","C57BL","E12.5","IMPC_HEM_032_001","lymphocyte cell count","0.2610116"
"1860075","0208290c66671v3","Ppt2","C57BL","Early adult","IMPC_EYE_067_001","left anterior chamber depth","0.6951458"
"1933388","02087e1er8j9493","Bicc1","C57BL","E9.5","IMPC_DXA_006_001","body length","0.6880277"
"1933169","021150595ebd5ua","Sacm1l","C57BL","Early adult","IMPC_CBC_018_001","glucose","0.4717767"
"1347354","021787t6wp746t8","Homer2","C57BL","Early adult","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.1566602"
"3605773","02187a46lz9i880","Cimip2a","C57BL","Early adult","IMPC_GEP_018_002","facial cleft","0.1867745"
"1923607","021fz9rh74r2022","Trmt5","C57BL","E9.5","IMPC_FEA_003_001","conditioning baseline % freezing time","0.7411338"
"1915878","021r59501g2g13k","Fbxw9","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity","0.6555065"
"96136","021wf2j6kz57100","Hmgn2","C57BL","","HRWL_OWT_001_001","spleen weight","0.9851788"
"1913105","0222nx424086802","Slc28a2","C57BL","Early adult","UCD_OWT_005_001","right kidney","0.9994794"
"2158468","02244x7b5ha02fe","Ms4a3","C57BL","Early adult","ESLIM_016_001_001","white blood cell count","0.1074013"
"99510","0227mm0305ssy8c","Tmsb4x","C57BL","Early adult","JAX_OFD_013_001","periphery average speed","0.3353139"
"97166","0229b4w04y0kt92","Msmb","C57BL","Early adult","IMPC_GEL_063_001","delayed embryonic development","0.08880717"
"1933169","022vd7684bq1234","Sacm1l","C57BL","Early adult","ESLIM_011_001_010","pp4 + pulse startle magnitude","0.195809"
"1915513","02306p0wx89h8x2","Pdhb","C57BL","E12.5","IMPC_IPG_011_001","initial response to glucose challenge","0.3480808"
"1917377","0234ow4h4ru3l32","Dpf3","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight","0.6584509"
"1860083","0235jki7x05l203","Cd320","C57BL","Early adult","IMPC_OFD_010_001","periphery distance travelled","0.9802799"
"94903","023968dd83y188u","Dlx3","C57BL","Early adult","ESLIM_008_001_013","startle response","0.1996083"
"99460","023b2l0u6282t93","Notch3","C57BL","Early adult","IMPC_EYE_059_001","mean right eye lens density","0.06700851"
"1860075","023i3rv440hd37f","Ppt2","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight","0.2280145"
"1913743","023l33eq77m0c52","Mrpl51","C57BL","Early adult","UCD_OWT_004_001","left kidney","0.2715604"
"2448415","023u98eb04q56e9","H2bc21","C57BL","Early adult","IMPC_DXA_008_001","lean/body weight","0.1515536"
"1917633","023uk1t899hh3e0","Cox10","C57BL","E9.5","MGP_CSD_018_001","head coat/hair appearance","0.9223617"
"96136","023x69hxbv2t4s2","Hmgn2","C57BL","Early adult","IMPC_DXA_003_001","lean mass","0.6635925"
"1933169","02418g8135t248h","Sacm1l","C57BL","E9.5","JAXLA_CSD_007_001","coat - color - abdomen","0.7981627"
"3647046","0247k6j5rfj0806","Tmem170b","C57BL","Early adult","IMPC_GEP_024_001","body wall morphology","0.3608044"
"1915513","0247k9v24x38alg","Pdhb","C57BL","Early adult","CCP_IMM_032_002","effector cd8+ t cells - % of live leukocytes","0.202712"
"2137681","0249cpjbb274eza","SFXN5","C57BL","Early adult","IMPC_EYE_025_001","retinal blood vessels structure","0.362546"
"2143990","024f7037g26xwix","Parp12","C57BL","Early adult","IMPC_OFD_012_001","periphery permanence time","0.9052801"
"1345633","02568q8227q809k","Mars1","C57BL","E9.5","IMPC_DXA_004_001","bone mineral density (excluding skull)","0.7923664"
"107444","025t4rq8124s0bn","Efna5","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed","0.3264391"
"2442632","025yo761tc9ou49","Cacna2d4","C57BL","Early adult","IMPC_IPG_012_001","area under glucose response curve","0.5730208"
"2679007","02639818k959hu7","Elmo3","C57BL","Early adult","JAX_LDT_003_001","time mobile light side","0.346737"
"2442201","0269cjj5h538o02","Adap1","C57BL","Early adult","ESLIM_007_001_003","whole arena resting time","0.734929"
"2385891","0272rte636u298n","Zc3h12a","C57BL","Early adult","ESLIM_007_001_007","periphery resting time","0.719072"
"97749","027555on0l5257u","Ppia","C57BL","Early adult","IMPC_GEO_011_001","blood vessel morphology","0.6477959"
"1913367","027f0c1ivbmw56z","Fmc1","C57BL","E15.5","IMPC_ACS_006_001","response amplitude - s","0.4184135"
"1933169","027i1d8th5129jn","Sacm1l","C57BL","E12.5","IMPC_EYE_027_001","persistence of hyaloid vascular system","0.5935702"
"2447762","027lop6kf77y08x","Yeats2","C57BL","Early adult","JAXLA_CSD_007_001","coat - color - abdomen","0.8327826"
"2447762","027y292nffo0ahd","Yeats2","C57BL","E9.5","IMPC_LDT_007_001","percent time in dark","0.3256192"
"2447762","02818855gc5796k","Yeats2","C57BL","Late adult","IMPC_ABR_006_001","12khz-evoked abr threshold","0.790627"
"2685720","028a40hm44bdlwm","Acss3","C57BL","Early adult","JAX_OFD_013_001","periphery average speed","0.4387972"
"98386","028f99h79j12zei","Sptan1","C57BL","E9.5","IMPC_EYE_055_001","max left eye lens density","0.5020907"
"107372","028xc83n9ll877b","Pter","C57BL","Early adult","IMPC_EYE_024_001","retinal blood vessels","0.2161838"
"1917315","02963sfg8k49840","Ankrd60","C57BL","Early adult","IMPC_OFD_020_001","distance travelled - total","0.5572744"
"2444298","02a5g071tkc7735","G2e3","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol","0.2761624"
"1917315","02a7e66yxr0895a","Ankrd60","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol","0.7625437"
"2443008","02a88s42o53x3og","Trappc8","C57BL","Early adult","IMPC_CSD_061_001","skin color - tail","0.7422743"
"1913367","02a957eq30t9ok7","Fmc1","C57BL","E15.5","IMPC_GPO_002_001","placenta morphology","0.4243776"
"1891214","02am794b87ic9av","Lhfpl1","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed","0.4730907"
"1347354","02b378zy40gqz04","Homer2","C57BL","Early adult","IMPC_GEL_019_001","chorioallantoic fusion","0.2266203"
"94903","02b7l9so8vo002e","Dlx3","C57BL","E9.5","CCP_XRY_064_001","thoracic processes","0.2730448"
"99779","02cn6l03c5j24iz","Chrna7","C57BL","Early adult","IMPC_CBC_018_001","glucose","0.2953067"
"1913367","02f28a581zu92h8","Fmc1","C57BL","E15.5","IMPC_OFD_015_001","center resting time","0.645355"
"2447762","02f8p4gw9v5751y","Yeats2","C57BL","E9.5","IMPC_GEL_063_001","delayed embryonic development","0.3727463"
"1913367","02g1s5src0ag6pm","Fmc1","C57BL","E15.5","MGP_CSD_023_001","dorsal coat/hair appearance","0.360782"
"2138584","02gwpsm71267dg7","Gigyf2","C57BL","Early adult","IMPC_OFD_018_001","latency to center entry","0.00001946135"
"1298386","02h6v55sw2p1hs7","Tpd52l1","C57BL","Early adult","IMPC_LDT_008_001","percent time in light","0.7751979"
"2681164","02h9l2ziw0dt9sl","Plekha8","C57BL","Early adult","M-G-P_008_001_013","startle response","0.08073122"
