"parameter_id","impc_parameter_orig_id","name","description"
"IMPC_GEO_025_002","44547"," hydrops fetalis (fetal adema)","hydrops fetalis fetal adema"
"IMPC_GEO_026_002","44548"," gastroschisis (herniated abdominal wall)","gastroschisis herniated abdominal wall"
"IMPC_GEO_034_002","44549"," polydactyly","polydactyly"
"IMPC_GEO_038_002","44550"," pale liver","pale liver"
"IMPC_GEO_041_002","44551"," exencephaly","exencephaly"
"IMPC_GEO_042_002","44552"," holoprosencephaly","holoprosencephaly"
"IMPC_GEO_043_002","44553"," spina bifida","spina bifida"
"IMPC_GEO_047_002","44554"," microphthalmia","microphthalmia"
"IMPC_GEO_048_002","44555"," anophthalmia","anophthalmia"
"IMPC_GEO_061_001","44556"," severely dysmorphic",""
"IMPC_EVP_001_001","36688"," outcome",""
"IMPC_EVP_002_001","36689"," decision",""
"IMPC_EVP_003_001","36690"," comment on decision (in english)",""
"IMPC_EVP_004_001","36691"," total embryos",""
"IMPC_EVP_005_001","36692"," total embryos heterozygous",""
"IMPC_EVP_006_001","36693"," total embryos homozygous",""
"IMPC_EVP_007_001","36694"," total dead embryos",""
"IMPC_EVP_008_001","36695"," total dead wt",""
"IMPC_EVP_009_001","36696"," total dead heterozygous",""
"IMPC_EVP_010_001","36697"," total dead homozygous",""
"IMPC_EVP_011_001","36698"," total gross defect at dissection (alive or dead) embryos",""
"IMPC_EVP_012_001","36699"," total gross defect at dissection (alive or dead) wt",""
"IMPC_EVP_013_001","36700"," total gross defect at dissection (alive or dead) heterozygous",""
"IMPC_EVP_014_001","36701"," total gross defect at dissection (alive or dead) homozygous",""
"IMPC_EVP_015_001","36702"," number of reabsorptions",""
"IMPC_EVP_016_001","36703"," average litter size",""
"IMPC_EVP_017_001","36704"," % embryos wt",""
"IMPC_EVP_018_001","36705"," % embryos heterozygous",""
"IMPC_EVP_019_001","36706"," % embryos homozygous",""
"IMPC_EVP_020_001","36707"," time of dark cycle start",""
"IMPC_EVP_021_001","36708"," time of dark cycle end",""
"IMPC_EVP_022_001","36709"," embryo medium",""
"IMPC_EVP_023_001","36710"," total embryos wt",""
"IMPC_EVP_024_001","36711"," total live embryos",""
"IMPC_EVP_025_001","36712"," total live heterozygous",""
"IMPC_EVP_026_001","36713"," total live wt",""
"IMPC_EVP_027_001","36714"," total live homozygous",""
"IMPC_HOU_003_002","89677"," pipeline id(s)","pipeline ids applicable to housing conditions"
"IMPC_HOU_004_002","89678"," date effective from","date effective from"
"IMPC_HOU_005_002","89679"," date effective until","date effective until"
"IMPC_HOU_009_001","89680"," housing - temperature regulated","housing temperature regulated"
"IMPC_HOU_068_001","89681"," housing - temperature range","housing temperature range"
"IMPC_HOU_012_001","89682"," housing - relative humidity regulated","housing relative humidity regulated"
"IMPC_HOU_069_001","89683"," housing - relative humidity range ","housing relative humidity range"
"IMPC_HOU_015_001","89684"," housing - ventilation managed","housing ventilation managed"
"IMPC_HOU_070_001","89685"," housing - air changes per hour in the room (range)","housing air changes per hour in the room range"
"IMPC_HOU_019_001","89686"," housing - ivc ventilation","housing ivc ventilation"
"IMPC_HOU_071_001","89687"," housing - air changes per hour in the ivc unit (range)","housing ivc ventilation managed"
"IMPC_HOU_023_001","89688"," housing - light source","housing light source"
"IMPC_HOU_072_001","89689"," housing - light intensity (range)","housing light intensity range"
"IMPC_HOU_027_001","89690"," housing - time lights switched on","housing time lights switched on"
"IMPC_HOU_028_001","89691"," housing - time lights switched off","housing time lights switched off"
"IMPC_HOU_073_001","89692"," housing - cage manufacturer","housing cage manufacturer"
"IMPC_HOU_074_001","89693"," housing - cage model","housing cage model"
"IMPC_HOU_075_001","89694"," housing - racking system manufacturer","housing rack system manufacturer"
"IMPC_HOU_076_001","89695"," housing - cage dimensions (l x w x h in mm) ","housing cage dimensions lxwxh"
"IMPC_HOU_077_001","89696"," housing - animals per cage - female maximum","housing female animals per cage max"
"IMPC_HOU_078_001","89697"," housing - animals per cage - female minimum","housing female animals per cage min"
"IMPC_HOU_079_001","89698"," housing - animals per cage - male maximum","housing male animals per cage max"
"IMPC_HOU_080_001","89699"," housing - animals per cage - male minimum","housing male animals per cage min"
"IMPC_HOU_035_002","89700"," housing - bedding type","housing bedding type"
"IMPC_HOU_036_001","89701"," housing - bedding pre-treatment","housing bedding pre treatment"
"IMPC_HOU_037_002","89702"," housing - cage enrichment","housing cage enrichment"
"IMPC_HOU_038_001","89703"," housing - frequency of cage cleaning","housing frequency of cage cleaning"
"IMPC_HOU_039_002","89704"," housing - frequency of handling (excluding phenotyping)","housing frequency of handling"
"IMPC_HOU_081_001","89705"," housing - frequency of animal welfare assessments","housing frequency of animal welfare assessments"
"IMPC_HOU_082_001","89706"," nutrition - supplier of diet","nutrition diet supplier"
"IMPC_HOU_083_001","89707"," nutrition - product id of diet","nutrition product id"
"IMPC_HOU_041_001","89708"," nutrition - diet type","nutrition diet type"
"IMPC_HOU_043_002","89709"," nutrition - average composition (based on mass) - carbohydrate","nutrition average composition based on mass carbohydrate"
"IMPC_HOU_044_002","89710"," nutrition - average composition (based on mass) - fat","nutrition average composition based on mass fat"
"IMPC_HOU_045_002","89711"," nutrition - average composition (based on mass) - protein","nutrition average composition based on mass protein"
"IMPC_HOU_050_001","89712"," nutrition - feeding regime (excluding fasting periods)","nutrition feeding regime excluding fasting periods"
"IMPC_HOU_051_002","89713"," nutrition - source of lipids","nutrition source of lipids"
"IMPC_HOU_053_002","89714"," water - pre-treatment","water pre treatment"
"IMPC_HOU_054_001","89715"," water - schedule (quantity)","water schedule quantity"
"IMPC_HOU_055_001","89716"," water - supply method","water supply method"
"IMPC_HOU_056_001","89717"," microbiological status - status of your centre","microbiological status status of your centre"
"IMPC_HOU_084_001","89718"," microbiological status - pathogens testing frequency","microbiological testing frequency"
"IMPC_HOU_085_001","89719"," phenotyping lifestage","phenotyping lifestage"
"IMPC_HOU_052_001","89720"," water - quality monitored","water quality monitored"
"IMPC_HOU_086_001","90854"," submission identifier",""
"IMPC_GEP_001_001","44811"," alive","alive"
"IMPC_GEP_002_001","44812"," scored","scored"
"IMPC_GEP_003_001","44813"," behavior/neurological","behavior neurological"
"IMPC_GEP_006_001","44814"," cardiovascular system","cardiovascular system"
"IMPC_GEP_007_001","44815"," cardiovascular development","cardiovascular development"
"IMPC_GEP_008_001","44816"," heart development","heart development"
"IMPC_GEP_009_001","44817"," outflow tract development","outflow tract development"
"IMPC_GEP_010_001","44818"," heart morphology","heart morphology"
"IMPC_GEP_013_001","44819"," blood vessel morphology","blood vessel morphology"
"IMPC_GEP_014_001","44820"," craniofacial","craniofacial"
"IMPC_GEP_015_001","44821"," head shape","head shape"
"IMPC_GEP_016_001","44822"," head size","head size"
"IMPC_GEP_017_001","44823"," facial morphology","facial morphology"
"IMPC_GEP_020_001","44824"," digestive/alimentary","digestive alimentary"
"IMPC_GEP_021_001","44825"," digestive system morphology","digestive system morphology"
"IMPC_GEP_022_001","44826"," embryo size","embryo size"
"IMPC_GEP_023_001","44827"," embryo weight","embryo weight"
"IMPC_GEP_024_001","44828"," body wall morphology","body wall morphology"
"IMPC_GEP_025_001","44829"," hearing/vestibular/ear","hearing vestibular ear"
"IMPC_GEP_026_001","44830"," outer ear morpholgy","outer ear morpholgy"
"IMPC_GEP_027_001","44831"," ear development","ear development"
"IMPC_GEP_028_001","44832"," homeostasis/metabolism","homeostasis metabolism"
"IMPC_GEP_032_001","44833"," integument","integument"
"IMPC_GEP_033_001","44834"," vibrissa morphology","vibrissa morphology"
"IMPC_GEP_034_001","44835"," skin appearance","skin appearance"
"IMPC_GEP_036_001","44836"," skin coloration","skin coloration"
"IMPC_GEP_037_001","44837"," limb morphology","limb morphology"
"IMPC_GEP_038_001","44838"," tail morphology","tail morphology"
"IMPC_GEP_040_001","44839"," liver/biliary","liver biliary"
"IMPC_GEP_041_001","44840"," liver morphology","liver morphology"
"IMPC_GEP_042_001","44841"," liver size","liver size"
"IMPC_GEP_043_001","44842"," muscle","muscle"
"IMPC_GEP_044_001","44843"," diaphragm morphology","diaphragm morphology"
"IMPC_GEP_045_001","44844"," nervous system","nervous system"
"IMPC_GEP_046_001","44845"," brain development","brain development"
"IMPC_GEP_050_001","44846"," renal/urinary","renal urinary"
"IMPC_GEP_051_001","44847"," kidney","kidney"
"IMPC_GEP_052_001","44848"," respiratory system","respiratory system"
"IMPC_GEP_053_001","44849"," lung morphology","lung morphology"
"IMPC_GEP_054_001","44850"," lung development","lung development"
"IMPC_GEP_056_001","44851"," vision/eye","vision eye"
"IMPC_GEP_057_001","44852"," eye morphology","eye morphology"
"IMPC_GEP_058_001","44853"," eye size","eye size"
"IMPC_GEP_062_001","44854"," number of cervical vertebrae","number of cervical vertebrae"
"IMPC_GEP_063_001","44855"," comment on image","comment on image"
"IMPC_GEP_064_001","44856"," images","images"
"IMPC_GEP_065_001","44857"," experimenter id","experimenter id"
"IMPC_GEP_066_001","44858"," equipment id","equipment id"
"IMPC_GEP_067_001","44859"," equipment manufacturer","equipment manufacturer"
"IMPC_GEP_068_001","44860"," equipment model","equipment model"
"IMPC_GEP_069_001","44861"," fixative","fixative"
"IMPC_GEP_070_001","44862"," time of dissection","time of dissection"
"IMPC_GEP_071_001","44863"," somite stage","somite stage"
"IMPC_GEP_072_001","44864"," time of dark cycle start","time of dark cycle start"
"IMPC_GEP_073_001","44865"," time of dark cycle end","time of dark cycle end"
"IMPC_GEP_074_001","44866"," date equipment last calibrated","date equipment last calibrated"
"IMPC_GEP_004_002","44867"," spontaneous movement","no spontaneous movement"
"IMPC_GEP_005_002","44868"," responsive to tactile stimuli","unresponsive to tactile stimuli"
"IMPC_GEP_011_002","44869"," hemorrhage","hemorrhage"
"IMPC_GEP_012_002","44870"," skin hemorrhage","skin hemorrhage"
"IMPC_GEP_018_002","44871"," facial cleft","facial cleft"
"IMPC_GEP_019_002","44872"," cleft palate","cleft palate"
"IMPC_GEP_029_002","44873"," cyanosis","cyanosis"
"IMPC_GEP_030_002","44874"," edema","edema"
"IMPC_GEP_031_002","44875"," hydrops fetalis (fetal adema)","hydrops fetalis fetal adema"
"IMPC_GEP_035_002","44876"," pallor","pallor"
"IMPC_GEP_039_002","44877"," polydactyly","polydactyly"
"IMPC_GEP_047_002","44878"," exencephaly","exencephaly"
"IMPC_GEP_048_002","44879"," holoprosencephaly","holoprosencephaly"
"IMPC_GEP_049_002","44880"," spina bifida","spina bifida"
"IMPC_GEP_055_002","44881"," respiratory failure","respiratory failure"
"IMPC_GEP_059_002","44882"," microphthalmia","microphthalmia"
"IMPC_GEP_060_002","44883"," anophthalmia","anophthalmia"
"IMPC_GEP_061_002","44884"," failure of eyelid fusion","failure of eyelid fusion"
"IMPC_GEP_075_001","44885"," severely dysmorphic",""
"IMPC_EMA_001_001","73074"," embryo reconstruction",""
"IMPC_EMA_002_001","73075"," experimenter id",""
"IMPC_EMA_003_001","73076"," equipment id",""
"IMPC_EMA_004_001","73077"," equipment manufacturer",""
"IMPC_EMA_005_001","73078"," equipment model",""
"IMPC_EMA_006_001","73079"," equipment version",""
"IMPC_EMA_007_001","73080"," image pixel size",""
"IMPC_EMA_008_001","73081"," e18.5 microct preparation protocol",""
"IMPC_EMA_009_001","73082"," date equipment last calibrated",""
"IMPC_EMA_010_001","73083"," date of sacrifice",""
"IMPC_EMA_011_001","73084"," date preparation finished",""
"IMPC_EMA_012_001","73085"," date of scan",""
"IMPC_EMA_013_001","73086"," source voltage",""
"IMPC_EMA_014_001","73087"," source current",""
"IMPC_EMA_015_001","73088"," object to source",""
"IMPC_EMA_016_001","73089"," camera to source",""
"IMPC_EMA_017_001","73090"," screenshots",""
"IMPC_EMA_018_001","73091"," limb digits",""
"IMPC_EMA_019_001","73092"," tail",""
"IMPC_EMA_020_001","73093"," limbs",""
"IMPC_EMA_021_001","73094"," pinna",""
"IMPC_EMA_022_001","73095"," vibrissa",""
"IMPC_EMA_023_001","73096"," edema",""
"IMPC_EMA_024_001","73097"," embryo size",""
"IMPC_EMA_025_001","73098"," spinal cord",""
"IMPC_EMA_026_001","73099"," spine curvature ",""
"IMPC_EMA_027_001","73100"," craniofacial morphology",""
"IMPC_EMA_028_001","73101"," hindbrain subarachnoid space",""
"IMPC_EMA_029_001","73102"," midbrain roof plate",""
"IMPC_EMA_030_001","73103"," midbrain",""
"IMPC_EMA_031_001","73104"," cerebellum",""
"IMPC_EMA_032_001","73105"," cerebral cortex",""
"IMPC_EMA_033_001","73106"," thalamus",""
"IMPC_EMA_034_001","73107"," corpus striatum",""
"IMPC_EMA_035_001","73108"," hippocampus",""
"IMPC_EMA_036_001","73109"," hypothalamus",""
"IMPC_EMA_037_001","73110"," pineal gland",""
"IMPC_EMA_038_001","73111"," pons",""
"IMPC_EMA_039_001","73112"," medulla oblongata",""
"IMPC_EMA_040_001","73113"," lateral ventricles",""
"IMPC_EMA_041_001","73114"," lateral ventricle choroid plexus",""
"IMPC_EMA_042_001","73115"," 4th ventricle choroid plexus",""
"IMPC_EMA_043_001","73116"," 4th ventricle",""
"IMPC_EMA_044_001","73117"," cerebral aqueduct",""
"IMPC_EMA_045_001","73118"," median sulcus",""
"IMPC_EMA_046_001","73119"," 3rd ventricle",""
"IMPC_EMA_047_001","73120"," olfactory lobe",""
"IMPC_EMA_048_001","73121"," trigeminal ganglion",""
"IMPC_EMA_049_001","73122"," pituitary gland",""
"IMPC_EMA_050_001","73123"," spinal cord cervical region",""
"IMPC_EMA_051_001","73124"," dorsal root ganglion",""
"IMPC_EMA_052_001","73125"," cochlea",""
"IMPC_EMA_053_001","73126"," nasal septum",""
"IMPC_EMA_054_001","73127"," nasal cavity",""
"IMPC_EMA_055_001","73128"," nasopharynx",""
"IMPC_EMA_056_001","73129"," vomeronasal organ",""
"IMPC_EMA_057_001","73130"," oropharynx",""
"IMPC_EMA_058_001","73131"," oral cavity",""
"IMPC_EMA_059_001","73132"," optic nerve",""
"IMPC_EMA_060_001","73133"," intraretinal space",""
"IMPC_EMA_061_001","73134"," hyaloid cavity",""
"IMPC_EMA_062_001","73135"," cornea",""
"IMPC_EMA_063_001","73136"," lens",""
"IMPC_EMA_064_001","73137"," eyelids",""
"IMPC_EMA_065_001","73138"," temporal bone",""
"IMPC_EMA_066_001","73139"," pharyngo-tympanic tube",""
"IMPC_EMA_067_001","73140"," palate",""
"IMPC_EMA_068_001","73141"," epiglottis",""
"IMPC_EMA_069_001","73142"," tongue",""
"IMPC_EMA_070_001","73143"," mandible",""
"IMPC_EMA_071_001","73144"," lower jaw molar",""
"IMPC_EMA_072_001","73145"," upper jaw molar",""
"IMPC_EMA_073_001","73146"," sphenoid bone",""
"IMPC_EMA_074_001","73147"," thyroid gland",""
"IMPC_EMA_075_001","73148"," submandibular gland",""
"IMPC_EMA_076_001","73149"," brown fat",""
"IMPC_EMA_077_001","73150"," vertebrae",""
"IMPC_EMA_078_001","73151"," esophagus",""
"IMPC_EMA_079_001","73152"," clavicle",""
"IMPC_EMA_080_001","73153"," scapula",""
"IMPC_EMA_081_001","73154"," ulna",""
"IMPC_EMA_082_001","73155"," humerus",""
"IMPC_EMA_083_001","73156"," arytenoid cartilage",""
"IMPC_EMA_084_001","73157"," cricoid cartilage",""
"IMPC_EMA_085_001","73158"," trachea",""
"IMPC_EMA_086_001","73159"," carotid artery",""
"IMPC_EMA_087_001","73160"," thymus",""
"IMPC_EMA_088_001","73161"," sternum",""
"IMPC_EMA_089_001","73162"," rib",""
"IMPC_EMA_090_001","73163"," t1 rib",""
"IMPC_EMA_091_001","73164"," vena cava",""
"IMPC_EMA_092_001","73165"," inferior vena cava",""
"IMPC_EMA_093_001","73166"," superior vena cava",""
"IMPC_EMA_094_001","73167"," jugular vein",""
"IMPC_EMA_095_001","73168"," ductus arteriosus",""
"IMPC_EMA_096_001","73169"," pulmonary valve",""
"IMPC_EMA_097_001","73170"," pulmonary trunk",""
"IMPC_EMA_098_001","73171"," dorsal aorta",""
"IMPC_EMA_099_001","73172"," ductus venosus",""
"IMPC_EMA_100_001","73173"," aorta",""
"IMPC_EMA_101_001","73174"," aortic valve",""
"IMPC_EMA_102_001","73175"," heart atrium",""
"IMPC_EMA_103_001","73176"," heart ventricle",""
"IMPC_EMA_104_001","73177"," tricuspid valve",""
"IMPC_EMA_105_001","73178"," mitral valve",""
"IMPC_EMA_106_001","73179"," interventricular septum",""
"IMPC_EMA_107_001","73180"," pericardial cavity",""
"IMPC_EMA_108_001","73181"," pericardium",""
"IMPC_EMA_109_001","73182"," main bronchus",""
"IMPC_EMA_110_001","73183"," bronchus",""
"IMPC_EMA_111_001","73184"," right lung cranial lobe",""
"IMPC_EMA_112_001","73185"," right lung middle lobe",""
"IMPC_EMA_113_001","73186"," right lung caudal lobe",""
